bedrooms;bathrooms;sqft_living;sqft_lot;floors;condition;yr_built;price
4;2.75;2750;17789;1.5;3;1914;1450000
3;2.25;2100;8201;1;3;1967;445000
4;2.25;2160;8811;1;3;1978;260000
5;3.5;2320;4960;2;5;1926;822500
4;2.5;2070;4310;2;3;2004;430000
3;1.75;1060;7875;1;4;1986;212000
4;2.25;2010;9603;1;3;1986;660500
3;3.5;3950;111078;1.5;3;1989;784000
3;2.5;2010;2287;2;3;2014;453246
4;3.5;2140;2278;3;3;2005;675000
3;1.75;1320;17390;1;4;1956;199000
4;1.75;2020;7840;1;3;1968;220000
4;2.25;2590;10002;1;4;1968;452000
2;1;1190;4440;1;3;1981;382500
3;2.25;1170;1249;3;3;2014;519950
2;1;1110;3200;1;3;1925;665000
5;2.5;2820;9375;1;4;1968;527700
3;1;1610;8579;1;4;1962;205000
3;1;1060;8097;1;4;1923;420000
4;2.25;2030;8517;1;4;1961;500000
4;2.5;3670;315374;2;4;1994;921500
4;1;2550;4000;2;3;1905;890000
2;2.5;2420;60984;2;3;2007;430000
5;2;2260;12500;1;4;1960;258000
3;1;1430;3455;1;3;1947;511000
3;2;1360;3090;2;3;1990;532170
3;1;1110;5000;1.5;3;1947;560000
3;1;1250;8200;1;4;1954;282950
4;3.25;5180;19850;2;3;2006;2250000
1;1;700;5100;1;3;1942;350000
3;1;1180;7669;1;4;1967;215000
5;3.5;3960;25245;2;3;1996;650000
4;2.75;2640;7500;1;3;1967;320000
3;2;1270;7198;1.5;3;1916;247000
4;1.75;1760;11180;1;4;1968;320000
5;2.25;2060;8632;1;3;1962;255000
3;1.75;1780;9660;1;3;1962;438000
3;2.5;3400;16603;2;3;2000;900000
3;2.75;1910;7280;1;3;1979;441000
3;2;2020;38332;1;4;1975;420000
3;1.75;1580;7000;1;3;1976;370000
2;1.75;1340;7250;1;5;1949;269950
4;2.5;2680;4499;2;3;1999;807100
3;2.5;2680;9750;1;4;1979;653000
3;2;1370;8336;1;5;1964;371500
3;1.75;1560;21000;1;3;1954;284000
3;1.75;2160;7140;1;4;1978;272000
3;1.5;1340;7912;1.5;3;1955;313000
4;2.5;3880;35003;2;3;1984;917500
4;2.25;2590;8190;2;4;1980;673000
3;2.5;1120;1100;2;3;2008;425000
5;2.75;1970;5400;1;3;1986;399950
3;1;1220;4800;1;3;1901;385000
3;1.5;1950;7560;1;4;1975;269950
2;1;1350;8220;1;3;1949;330000
3;2.5;1670;5797;2;3;1988;260000
4;3;2380;5125;1.5;4;1925;470000
4;3;2440;9600;2;5;1961;589000
2;1.5;1050;3419;2;3;1996;163500
4;2.75;3130;13412;2;3;1993;835000
5;3;4090;12850;1;4;1986;1095000
4;1.75;1490;10000;1;4;1969;269000
3;2.5;1900;8744;2;3;1987;560000
4;1;1330;2400;1.5;4;1901;615000
3;2.25;2230;10026;1;3;1975;585188
3;1.75;1650;9480;1;3;1977;305000
3;1;1190;8820;1;3;1959;166950
3;2.5;2140;9897;1;4;1959;799000
3;2.5;2180;7508;1;4;1962;400000
3;1;1060;10228;1;3;1948;230000
3;2.5;1690;5025;2;3;2003;256883
4;2;1970;6480;1.5;5;1920;423000
3;2.5;2150;4084;2;3;2007;465000
3;2.5;1910;66211;2;3;1997;440000
3;1.75;1350;155073;1;4;1969;385000
3;1;860;11725;1;4;1943;210000
3;2.5;1940;14952;2;3;1994;297000
3;1;1010;5000;1;3;1952;470000
3;1.5;1300;7370;1;4;1976;226500
3;1;910;8450;1;4;1962;274250
4;1.75;2480;11010;1;4;1966;840000
3;2.5;2440;4587;2;3;2010;677900
3;1;1010;5864;1;3;1915;425000
2;0.75;900;9600;1;3;1941;180250
6;3;2300;3404;2;3;1920;464000
4;2.25;1550;7579;2;3;1993;320000
3;2.25;1270;1566;2;3;2014;625504
4;2.5;2240;12032;1;3;1983;592500
3;2.5;2714;17936;2;3;2005;465000
4;2.75;1720;6270;2;3;1978;477000
2;1;850;16400;1;3;1923;280000
5;3;3300;33474;1;3;1957;1505000
3;2.5;2250;5692;2;3;2000;445838
2;2.25;3900;14864;1;3;1947;1072000
2;1.5;1320;10800;1;4;1947;467000
4;2.5;2760;6440;2;3;1999;686000
3;2;1750;9750;1;3;1961;279950
4;2.25;2330;19436;2;3;1987;527000
3;2.25;2220;16020;1;4;1966;325000
3;2.25;2020;8379;2;3;1994;328000
3;2.25;1250;7500;1;5;1942;390000
2;2;1510;6516;1;3;2005;479950
4;2.25;1720;9753;1;4;1978;264950
3;1;1430;15246;1;4;1961;235000
3;2.5;1480;4729;2;3;2004;516500
2;1.75;1450;15798;2;3;1915;655000
4;2.75;2280;15347;1;5;1960;500000
6;2.75;2940;7350;1;3;1978;315000
2;1;1000;10200;1;3;1961;213000
3;1.5;2480;5280;1.5;5;1947;475000
5;4;3760;28040;2;3;1983;1025000
3;2;2220;94300;1;5;1976;416000
4;1;1970;4740;1.5;3;1904;410000
3;3.5;3830;221284;2;3;1993;800000
6;2.5;4410;14034;1;4;1965;472000
3;1.75;1430;8505;1;4;1968;225000
2;1;830;6000;1;3;1940;210000
2;1;1430;5000;1.5;2;1925;455000
3;1;1300;8316;1;4;1954;225000
2;1;1030;3060;1;4;1918;480000
3;2.5;2740;11872;2;3;1990;363000
4;2.5;3650;8354;1;3;2000;2400000
2;1.5;720;5120;1;3;1954;181000
4;2;2010;7312;1;4;1976;250000
3;1.75;1560;3000;1;4;1918;481000
3;2;1810;7209;1;4;1978;260000
4;2.5;3360;7685;2;3;2001;455000
3;2.25;1510;36224;2;3;1991;415000
3;1;1400;3538;1;3;1953;349500
3;2.5;1730;7442;2;3;1987;245000
2;2;1420;9191;1.5;5;1928;592500
4;1.75;2360;7620;1;4;1955;385000
3;1.75;1580;11455;1;4;1974;315000
3;1;1230;10170;1;3;1979;255000
4;2.5;2460;4425;2;3;2006;693000
3;1;1660;4400;1.5;3;1911;780000
3;1.75;1270;8470;1;4;1960;237000
3;2.25;2100;40510;2;3;1979;525000
2;1;770;5040;1;3;1930;425000
1;0.75;760;10079;1;5;1936;369900
4;2.5;1700;7280;2;4;1988;290000
3;1;1120;10701;1;3;1954;285000
2;1;1070;4500;1;3;1937;415000
3;2.5;2070;9900;1;3;1979;272500
4;3.25;5050;20100;1.5;3;1982;2900000
4;4.75;5310;57346;2;4;1989;1365000
2;1;1040;7538;1;4;1939;436000
3;1;1700;11390;1;4;1967;210000
3;1;1300;5898;1;3;1961;236000
3;1.75;1080;1306;1;3;1954;331000
3;2.5;2653;4510;2;3;2006;365000
3;2;2290;16258;1;5;1960;450000
4;2.75;3820;26300;2;3;2014;770000
4;2.5;2210;49375;1;3;1997;455000
3;1.75;2390;6000;1;3;1908;405000
4;1.75;2600;11325;1;4;1969;304900
2;1;860;5265;1;3;1931;170000
5;3;3830;8480;2;5;1905;2050000
4;2.5;3500;7048;2;3;2005;780000
3;3;2420;13959;1;4;1988;330000
4;2.5;2720;8666;2;3;1992;370000
5;2.25;2500;13500;1;3;1979;467000
3;1.75;1670;6720;1;3;1980;405000
5;2.25;2900;10300;1;3;1985;675000
2;1;1640;14100;1;4;1954;500000
4;2.5;1890;15770;2;4;1968;389999
4;1.75;2950;9025;1;4;1975;630000
4;2.5;2160;9528;2;3;1992;360000
4;3;3280;11060;2;3;1986;580000
3;2;1970;4166;2;5;1929;550000
4;2.5;3360;22111;2;3;1994;879000
3;2;1320;8959;1;3;1993;265000
3;2.5;2650;7286;2;3;1990;446500
3;1.5;2030;8880;1;3;1963;404000
3;1.75;1590;11914;1;3;1957;267500
4;5;4550;18641;1;3;2002;3075000
3;2.5;2440;7632;2;3;1998;335000
3;2.5;1940;9000;1;4;1948;576000
3;2.5;2040;3810;2;3;2006;208633
3;2.25;2200;8750;1;4;1964;315000
3;1.75;1920;3300;1;4;1913;725000
4;2.75;1800;7750;1;4;1965;550000
4;2.25;2180;7297;2;3;1984;610750
2;1;1010;5000;1.5;4;1908;550700
4;2.75;3320;10574;2;5;1960;665000
4;2.5;2370;4000;1.5;5;1928;834000
5;1.75;1660;78408;1.5;3;1915;201000
5;2.5;3650;9050;2;5;1921;2384000
4;3.25;4290;12103;1;3;1997;1384000
4;3.25;4290;12103;1;3;1997;1400000
4;2.25;1950;7700;1;3;1979;305000
3;2;2590;14052;1;5;1948;487000
3;2.5;1930;64904;1;4;1988;390000
2;1;1470;3864;1;4;1916;548000
4;1;800;8775;1;3;1943;268750
5;2.75;3150;7119;2;3;2013;819900
3;2.25;2030;16200;2;3;1984;520000
3;2;1450;11204;1;3;2003;230000
3;1.75;1510;10248;1;3;1969;240000
2;1;1240;12092;1;3;1922;232000
2;1;1240;12092;1;3;1922;240500
3;2.5;3030;45004;2;3;1987;274975
4;2;2050;4400;1.5;4;1922;740000
3;1;1000;7636;1;2;1952;186375
3;2.25;2370;10289;1;4;1977;790000
4;3.5;2800;6750;2;3;1951;880000
6;1.75;2240;11180;2;4;1955;279000
3;2;1810;10530;1;3;1991;295000
2;1;1070;5000;1;3;1924;640000
4;2;2490;9525;2;5;1968;940000
4;2.5;1960;5238;2;3;2003;260000
3;2.75;2930;5569;1;3;2004;559900
4;2;1510;3500;1.5;5;1911;791500
3;1.75;1420;8250;1;3;1954;265000
3;1.75;1740;11547;1;3;1954;245000
4;1.75;2560;43995;2;4;1962;485000
4;3.5;3040;8414;2;3;2010;684000
3;1.75;2500;6840;1;3;1957;425000
4;1.75;1275;20000;1;4;1991;309600
4;2.5;2580;5823;2;3;2002;552250
4;1;1000;7134;1;3;1943;165000
4;1;1000;7134;1;3;1943;239900
2;1;1070;32633;1;4;1930;320000
3;2;1390;13464;1;4;1987;206600
4;1.75;2500;7690;1;3;1973;387000
1;0.75;560;12120;1;3;1967;299000
4;2.75;2270;10460;2;3;1965;855000
3;1;1900;14400;1;4;1954;315000
2;1;990;3120;1;5;1907;437500
4;1.5;1550;19800;1;4;1969;252000
4;1.75;2200;7475;1;5;1955;375000
4;2.5;1910;4862;2;3;2005;300000
4;1;1750;9600;1.5;4;1954;420000
3;1;1330;77972;1;3;1928;900000
3;2.5;2440;5750;2;3;2000;679900
3;2.5;1640;29970;2;3;1992;463000
5;2.5;2760;11340;2;4;1978;380000
4;2.5;1820;7912;2;3;1994;329500
3;2.5;2110;5608;1;3;2013;604950
5;2.5;3040;9570;1;4;1966;795000
3;2;1840;40438;2;3;1994;465000
4;2.5;2990;10400;2;3;2002;673000
4;2.5;3520;15420;2;3;1991;810000
4;2.75;2440;69415;1;4;1989;785000
4;3;2090;7500;1;3;1986;338000
3;2.25;1430;7222;2;3;1993;280000
4;2.25;2180;10754;1;5;1954;315000
4;2.25;2180;10754;1;5;1954;530000
5;3;3450;9914;2;3;2004;380000
3;2.25;1450;7562;2;3;1994;297000
4;2.5;3230;7331;2;3;2004;730000
3;1.75;1640;13500;1;3;1940;450000
3;3;1590;7750;1;3;1997;275000
4;2;2020;2849;2;3;1960;595000
3;1.5;1300;3348;1.5;3;1904;435000
2;1.5;1380;209959;1;1;1954;270000
3;3;4040;14338;2;3;1986;950000
4;2.25;2130;5337;2;3;2001;389000
4;2.25;2550;7800;1;3;1968;560000
5;3.5;4800;14984;2;3;1998;1350000
4;2.25;2510;11585;2;4;1969;799000
3;2;1410;9600;1;4;1983;365500
3;2;1650;7352;1;3;1979;252350
4;2.5;2120;13780;2;3;1993;403950
4;1.5;2040;10726;1;3;1954;385000
4;1;1550;7620;1.5;3;1957;345000
3;2.75;1980;3128;2;4;1979;490000
3;2.5;1600;26977;2;3;2005;330000
4;2.75;3300;12090;2;3;1953;927000
4;2.5;3840;16619;2;4;1983;1118000
2;1;1220;10000;1;5;1950;330000
5;2.25;2720;8800;1;4;1958;530000
4;2;1940;25600;1;1;1962;365000
3;2.5;2160;3000;1.5;3;1909;378750
4;1.75;1530;8750;1.5;4;1968;269900
3;3.5;1710;2096;2;3;2008;557000
4;1.75;3730;16980;1;4;1974;360000
2;1;940;5000;1;4;1937;352000
3;2.5;1750;22357;2;3;1994;437000
4;2.5;1820;6753;2;3;1994;322500
3;3.25;1510;2000;2;3;2001;650000
3;2;1290;1213;3;3;2001;450000
3;2;1570;5250;1;3;1998;278500
4;2.5;1930;6957;2;3;1995;364950
4;3.5;2840;40139;1;4;1986;840000
3;2.5;1550;8134;2;3;1991;268000
2;1;833;143947;1;3;2006;517534
3;2.5;2990;32239;2;4;1978;632925
3;2.5;2000;7251;2;3;1995;577500
4;1.5;2390;7480;1.5;3;1920;339000
3;1.75;2910;37461;1;4;1967;570000
4;1.75;2085;174240;1;3;1964;563500
4;2.25;2200;9351;1;5;1962;423000
3;2.25;1860;5028;2;3;2012;355000
5;4.25;6070;171626;2;3;1999;1550000
2;1;950;3960;1;3;1941;482000
3;1.75;1600;9135;1;5;1955;625000
3;2.5;2250;11632;2;3;1988;538000
3;2.5;2280;10255;2;4;1985;380000
2;1;940;5120;1;3;1909;375000
3;2.5;1530;8500;1;5;1996;245000
5;1.75;2190;27260;1;4;1947;310000
3;2;2350;15021;1;4;1976;1300000
4;2;1440;7680;1;3;1971;397000
3;2.5;2200;4052;2;3;2005;365000
4;3;2290;8250;2;3;1990;328500
4;3;4040;19700;2;3;1987;988000
4;2.5;2610;3277;1.5;5;1922;1000000
3;2.5;1490;2138;2;3;2005;237000
4;2.5;2450;5280;2;3;2003;525000
4;2.5;1710;9627;1;3;1976;749000
5;2.5;4870;11800;2;3;1983;722500
3;2.5;3130;8750;2;3;1991;843000
2;2;1270;1372;3;3;2000;438000
3;1.75;2120;10875;1;3;1977;578000
3;1.5;1670;8230;1;5;1954;227950
3;2.25;2070;11576;2;3;1974;196000
2;1;1420;5332;1;3;1953;641000
3;1.5;1250;219978;1;4;1980;350000
3;1;940;7980;1;4;1960;205000
3;1.75;1920;9102;1;3;1968;400000
3;2.5;3545;9816;1;3;2005;1030000
3;2;1260;5460;1;3;1972;505000
5;2.5;2340;7200;1;3;1975;475000
3;2.25;2590;9263;1;5;1977;520000
3;4.5;3970;24920;2;3;1977;1450000
3;1.75;1220;9732;1;3;1965;333500
3;1;1400;10403;1;4;1976;232000
3;2.75;2360;16117;1;4;1983;691100
3;1.75;1870;9897;1;4;1960;811000
3;2.5;2830;5802;2;3;2001;551000
3;2.5;2260;3640;2;3;1994;496500
3;3;1970;20978;2;4;1980;705000
4;2.5;3140;9225;1;5;1966;578000
3;1.75;1240;8659;1;5;1986;255000
4;3.5;3450;7832;2;3;2007;1050000
3;2.25;2570;8491;2;4;1989;348000
3;2;1510;3413;2;3;1985;230000
4;2.25;2390;11250;2;3;1988;359500
3;1;980;7000;1;3;1953;330000
1;0.75;430;5050;1;2;1912;80000
3;1.75;1480;6360;1;3;1954;465000
4;2.5;1850;7324;2;3;1997;325000
3;2;2270;28025;1;4;1947;340500
3;2.5;1810;5192;2;3;1993;342500
2;2;1610;17600;2;3;1930;290900
3;4.25;3840;6161;2;3;2000;868700
4;2.75;4110;8400;2;3;1928;1199000
4;3.25;4190;10259;2;3;2000;1150000
4;2.75;3390;6298;2;3;2011;859900
4;2.25;1890;3006;2;3;2003;520000
3;2.5;1610;2527;2;3;2005;460000
3;1.5;1050;4590;1;3;1949;438924
2;1;630;6550;1;3;1918;315000
4;2.75;2910;10650;1;3;1975;590000
4;1.75;1700;8640;1;3;1955;378500
3;2.5;1950;8130;2;4;1990;328500
3;3;2990;9773;2;4;1973;849950
3;1.5;1350;6000;1;3;1950;525000
4;3.25;4860;181319;2.5;3;1993;1385000
4;2.5;2160;7725;1;4;1978;295000
6;3.5;4860;11793;2;3;1998;1067000
2;2;890;5000;1;3;1917;207950
4;2.75;2810;7302;2;3;2002;699900
5;2.5;3400;9500;2;4;1977;1280000
4;1.5;1580;7350;1;4;1963;452000
3;2;1680;5036;1;4;1987;370000
3;1.75;1300;11230;1;5;1968;232000
5;2.5;2820;14062;2;4;1960;669950
3;2;1510;6710;1;3;1972;397500
2;2.5;1230;1391;2;3;2004;490000
4;2;2110;4140;2;3;1925;725000
3;2.75;3080;19635;1;4;1958;299000
2;1.5;1490;5750;1.5;4;1900;625000
3;2.5;2120;4500;2;3;2000;437500
4;2.5;3180;5438;2;3;2003;650000
2;1;1490;3825;1;3;1929;475000
3;2;1930;11947;1;4;1966;342000
4;2.5;2770;7800;2;3;1999;1197350
3;1.5;1670;11610;1;4;1963;280000
2;1.75;1330;7200;1;3;1993;240000
3;1;1210;3328;1.5;4;1924;529000
3;1;1190;5100;1;4;1941;442000
2;1;1540;6872;1;4;1946;615000
4;3.75;4030;10800;2;3;2006;1485000
4;1.75;2430;7559;1;4;1981;585000
4;2.5;2600;7787;2;3;2005;480000
5;3.5;4410;57063;2;4;1990;1095000
4;1;1330;8184;1.5;3;1949;290000
3;1.75;1900;5000;1;5;1951;615000
2;1;1100;7680;1;4;1950;300000
3;1;1980;39150;1.5;3;1932;308000
3;2.5;2400;7745;2;3;2001;750000
4;2.25;4760;8036;2.5;5;1916;2250000
4;3.25;3180;194278;2;3;2005;890000
3;1;1190;7560;1;5;1958;288000
2;1;630;6000;1;3;1943;190000
5;3;2530;5105;1;3;2005;515000
4;1.5;1690;11054;1;4;1930;235000
2;1;940;5000;1;3;1951;275000
2;2;1240;9119;1;4;1952;727500
4;2.5;3040;6587;2;3;2003;650000
6;5;6050;230652;2;3;2001;1600000
4;1;1590;7085;1.5;3;1944;365000
3;1.75;2500;36947;1;3;1984;662000
3;2.5;1780;7848;1;3;1978;270500
2;1.5;1360;1898;2;3;1978;200000
4;3.25;4740;76230;2;3;1987;970000
3;1.5;1010;9600;1;4;1962;160000
3;1;1040;7405;1;4;1971;204000
3;2.25;1610;6655;2;4;1985;358000
4;1.75;1570;8268;1;3;1979;452000
2;2;1510;4000;1;4;1900;595000
3;2;1360;6082;1;3;1994;249000
4;2.5;1970;5106;2;3;1999;346900
3;2.5;5403;24069;2;4;1976;2125000
4;2.5;1560;4350;2;3;2003;280000
4;1.75;2320;12000;1;4;1973;318888
3;2.25;2120;40518;1;3;1967;530000
3;2.25;2120;18500;2;4;1983;375000
4;2.5;3350;29242;2;3;1988;910000
4;2.5;2380;9614;2;4;1991;782000
2;2;1070;649;2;3;2008;259950
4;2.75;2300;18360;1;4;1979;315000
2;1;1320;8865;1;4;1943;215000
3;1.75;2180;10221;1;4;1946;705000
3;3;4380;6320;2;5;1952;1450000
3;1.75;1790;9813;2;3;1949;451000
2;1;750;8125;1;4;1943;261000
3;1.5;1300;8280;1;5;1956;396000
4;2.5;2990;29170;2;3;1999;725000
7;3.5;4640;15235;2;3;1965;1950000
4;1;1400;7242;1.5;3;1959;238000
6;1.75;2750;9563;2;4;1973;750000
4;2.5;2050;10271;2;3;1998;331500
4;3;2230;108900;1;3;1978;460000
4;2.25;2340;217014;1;4;1982;404950
3;2.5;2870;5163;2;3;2014;880000
4;2.5;4120;22370;2;3;1997;863000
3;1.75;2080;9162;1;3;1960;638700
3;2.5;1840;5680;2;3;2008;435000
3;1;1180;5350;1.5;4;1959;260000
5;2.75;2160;4000;1.5;5;1927;671500
3;1;1180;3400;1.5;3;1907;610000
2;0.75;1160;15029;1;4;1937;405000
4;2.5;1830;5612;2;3;2003;338900
4;4;3200;7708;2;3;2004;720000
5;3;2560;5445;1.5;4;1927;442000
5;2.75;2550;5040;1.5;5;1902;650000
3;1.75;1330;9917;1;3;1981;263500
2;1;1220;75794;1;4;1963;300000
3;2.5;1805;3402;2;3;2009;266000
4;4;6050;84942;2.5;3;2009;930000
4;2.5;2320;5493;2;3;2004;530000
3;1;1384;8960;1;4;1965;180000
3;2.5;2720;6439;2;3;2005;619000
3;1.5;1820;10608;1;4;1962;264000
2;2.25;2130;4920;1.5;4;1941;730000
4;2.25;2060;10070;2;3;1975;439000
4;1.75;1420;7500;1;4;1981;268500
3;1.75;1510;15744;1;3;1985;330000
3;2.5;2160;4000;1.5;3;1903;640000
3;2.5;3180;12600;2;4;1978;900000
3;2.25;2110;13300;2;4;1985;370000
3;2;2060;2900;1.5;5;1931;685000
3;1.5;1830;217800;1;3;1981;505000
3;1.75;1820;32666;1;4;1966;265000
3;2.5;1610;2937;2;3;2006;290000
4;2.5;1780;3600;2;3;2006;296000
4;2.5;1840;9611;2;3;1996;360000
3;1.75;1460;10584;1;3;1997;240500
2;2.5;1400;2958;2;3;2007;372500
3;2.5;3370;14402;2;3;2004;595000
4;3;3590;8249;2;3;1997;515000
4;2.25;3200;15367;2;4;1962;1220000
2;1.75;1670;6460;1;3;2004;507000
4;2;2420;31465;1;3;1984;399950
3;1.75;1430;10816;2;3;1994;185000
3;1.75;1440;7070;1;3;1980;460000
3;2.25;1450;4789;2;3;1985;435500
4;2.75;3550;13938;1;5;1966;469000
2;3;1270;1175;2;3;2000;531000
2;1;940;6804;1;3;1949;443500
3;2;1670;6824;1;3;1990;223000
4;3.5;3100;15842;2;3;1996;590000
2;2.5;1100;1760;3;3;1997;340000
3;2;1870;3388;1;4;1925;650000
3;2.5;1930;5080;2;4;1990;533600
3;2.75;2540;4694;2;3;2005;695000
3;1.75;1280;7524;1.5;4;1988;242000
3;2.25;1820;8814;1;3;1967;425000
3;2.25;1490;9414;2;3;1981;525000
3;2.5;1880;5502;2;3;1988;485000
3;1;1250;9775;1;3;1971;175000
3;2;1440;7210;1;3;1983;210000
3;2.5;1920;7415;2;3;1989;260000
3;2.5;2060;5750;1;3;1976;577000
3;1.5;1210;10588;1;4;1958;200000
2;1.75;1760;5000;1;4;1927;605000
3;1;990;6750;1;4;1947;325000
3;1;960;6400;1;4;1944;289500
3;2.5;1660;1458;3;3;2014;559950
3;1.75;1900;9375;1;4;1941;1042500
3;2.25;1270;2790;1;3;1970;543500
4;2.25;3250;34293;2;4;1983;480000
3;1;960;9633;1;5;1982;218000
2;1.75;1330;6000;1;4;1914;565000
3;1.75;2080;7700;1;5;1968;426700
3;2.5;2690;11575;1;3;1957;650000
2;1;890;3060;1;3;1910;542000
3;1.75;1070;8000;1;3;1977;415000
3;1;1200;8316;1;4;1953;214000
3;1.5;1360;8910;2;5;1949;245000
3;2;2050;13303;1;3;1993;314500
3;1.5;3000;5750;2;5;1924;1120000
2;2;1300;3850;1;3;1963;378000
4;2.5;2250;9091;1;3;1982;305000
5;2.75;3740;6750;1;4;1978;595000
3;2.5;1660;1091;3;3;2015;729500
3;2.5;2360;6699;2;3;2003;430000
