Genero;Edad;Altura;Peso;Antecedentes_sobrepeso;Fruta_diaria;Verduras_semanales;Metodo_transporte;IMC;Estado
Mujer;52;161;61;No;4;7;Andando;23.53;Normal
Mujer;59;185;95;No;1;4;Transporte_Publico;27.76;Sobrepeso
Mujer;62;193;80;Si;5;9;Andando;21.48;Normal
Mujer;51;180;86;Si;1;5;Coche;26.54;Sobrepeso
Mujer;54;157;69;Si;1;4;Transporte_Publico;27.99;Sobrepeso
Mujer;47;148;36;No;2;3;Transporte_Publico;16.44;Delgadez
Mujer;26;147;65;Si;0;4;Transporte_Publico;30.08;Obesidad
Hombre;65;183;100;Si;2;5;Coche;29.86;Sobrepeso
Hombre;27;162;48;No;1;5;Coche;18.29;Delgadez
Hombre;37;158;62;No;2;12;Transporte_Publico;24.84;Normal
Mujer;37;197;77;Si;5;13;Andando;19.84;Normal
Hombre;63;173;79;No;1;4;Transporte_Publico;26.4;Sobrepeso
Mujer;45;179;94;Si;1;6;Transporte_Publico;29.34;Sobrepeso
Hombre;27;196;110;Si;2;6;Transporte_Publico;28.63;Sobrepeso
Hombre;30;183;76;Si;5;11;Transporte_Publico;22.69;Normal
Hombre;51;198;103;Si;1;3;Coche;26.27;Sobrepeso
Mujer;64;188;109;Si;2;1;Transporte_Publico;30.84;Obesidad
Mujer;43;151;46;Si;2;11;Transporte_Publico;20.17;Normal
Hombre;37;156;50;No;4;11;Transporte_Publico;20.55;Normal
Hombre;27;182;106;Si;1;2;Coche;32;Obesidad
Hombre;45;168;51;No;1;9;Coche;18.07;Delgadez
Hombre;41;176;69;Si;2;8;Transporte_Publico;22.28;Normal
Mujer;18;177;61;No;4;11;Transporte_Publico;19.47;Normal
Mujer;40;172;90;Si;1;1;Transporte_Publico;30.42;Obesidad
Mujer;43;175;98;No;2;2;Transporte_Publico;32;Obesidad
Hombre;38;190;86;No;2;7;Bicicleta;23.82;Normal
Hombre;54;198;96;Si;4;12;Transporte_Publico;24.49;Normal
Mujer;59;182;98;No;1;6;Transporte_Publico;29.59;Sobrepeso
Mujer;36;167;87;No;2;4;Transporte_Publico;31.2;Obesidad
Mujer;64;175;82;No;1;6;Transporte_Publico;26.78;Sobrepeso
Mujer;49;185;96;Si;2;5;Transporte_Publico;28.05;Sobrepeso
Hombre;58;192;77;No;3;14;Transporte_Publico;20.89;Normal
Mujer;29;158;74;No;2;4;Transporte_Publico;29.64;Sobrepeso
Hombre;40;179;96;No;1;3;Transporte_Publico;29.96;Obesidad
Hombre;58;168;90;Si;1;3;Transporte_Publico;31.89;Obesidad
Mujer;22;173;63;No;2;13;Andando;21.05;Normal
Hombre;34;147;41;Si;2;8;Transporte_Publico;18.97;Normal
Hombre;34;172;66;Si;3;7;Transporte_Publico;22.31;Normal
Hombre;33;160;63;No;2;12;Transporte_Publico;24.61;Normal
Hombre;49;163;48;No;2;5;Transporte_Publico;18.07;Delgadez
Mujer;48;153;76;Si;1;3;Coche;32.47;Obesidad
Mujer;61;175;95;Si;1;4;Coche;31.02;Obesidad
Mujer;39;173;59;Si;4;7;Transporte_Publico;19.71;Normal
Mujer;53;167;53;No;2;13;Transporte_Publico;19;Normal
Hombre;42;167;55;Si;4;14;Andando;19.72;Normal
Mujer;32;179;82;Si;1;6;Andando;25.59;Sobrepeso
Mujer;20;185;77;No;3;9;Transporte_Publico;22.5;Normal
Hombre;32;174;66;No;5;11;Transporte_Publico;21.8;Normal
Mujer;62;154;52;No;5;14;Transporte_Publico;21.93;Normal
Mujer;57;172;90;No;1;4;Transporte_Publico;30.42;Obesidad
Mujer;65;179;76;No;4;8;Transporte_Publico;23.72;Normal
Hombre;27;196;120;Si;1;1;Transporte_Publico;31.24;Obesidad
Mujer;40;150;68;Si;2;3;Transporte_Publico;30.22;Obesidad
Hombre;21;175;81;No;1;3;Transporte_Publico;26.45;Sobrepeso
Mujer;45;161;54;Si;3;8;Coche;20.83;Normal
Mujer;65;189;77;No;2;8;Transporte_Publico;21.56;Normal
Mujer;18;155;79;Si;1;3;Coche;32.88;Obesidad
Mujer;27;194;88;No;4;13;Transporte_Publico;23.38;Normal
Mujer;55;160;49;Si;2;8;Transporte_Publico;19.14;Normal
Hombre;41;198;112;Si;2;4;Coche;28.57;Sobrepeso
Hombre;33;196;109;No;2;5;Andando;28.37;Sobrepeso
Mujer;32;198;102;Si;1;5;Transporte_Publico;26.02;Sobrepeso
Hombre;35;195;113;No;2;3;Transporte_Publico;29.72;Sobrepeso
Mujer;49;189;112;Si;0;4;Transporte_Publico;31.35;Obesidad
Mujer;35;179;71;Si;4;13;Transporte_Publico;22.16;Normal
Mujer;25;151;47;No;3;8;Andando;20.61;Normal
Mujer;38;183;63;No;2;12;Transporte_Publico;18.81;Normal
Mujer;30;149;72;Si;2;4;Transporte_Publico;32.43;Obesidad
Mujer;43;158;47;No;5;13;Andando;18.83;Normal
Mujer;35;176;97;No;1;3;Transporte_Publico;31.31;Obesidad
Hombre;65;172;66;Si;4;9;Transporte_Publico;22.31;Normal
Mujer;54;164;53;Si;2;11;Coche;19.71;Normal
Mujer;51;176;97;No;2;4;Andando;31.31;Obesidad
Hombre;48;173;67;Si;2;12;Transporte_Publico;22.39;Normal
Hombre;38;153;47;No;5;10;Andando;20.08;Normal
Hombre;22;173;68;Si;5;14;Transporte_Publico;22.72;Normal
Hombre;22;176;67;No;5;12;Transporte_Publico;21.63;Normal
Hombre;25;166;72;Si;1;4;Transporte_Publico;26.13;Sobrepeso
Hombre;65;189;102;No;1;3;Transporte_Publico;28.55;Sobrepeso
Mujer;23;191;82;No;4;8;Transporte_Publico;22.48;Normal
Hombre;35;183;100;No;1;3;Transporte_Publico;29.86;Sobrepeso
Hombre;61;175;58;Si;5;14;Transporte_Publico;18.94;Normal
Mujer;58;184;105;No;2;1;Transporte_Publico;31.01;Obesidad
Hombre;45;153;38;Si;1;6;Transporte_Publico;16.23;Delgadez
Mujer;28;198;112;Si;1;3;Transporte_Publico;28.57;Sobrepeso
Mujer;39;194;89;No;2;12;Transporte_Publico;23.65;Normal
Hombre;24;172;70;Si;4;7;Coche;23.66;Normal
Hombre;22;194;104;No;1;3;Coche;27.63;Sobrepeso
Hombre;42;154;56;Si;3;12;Transporte_Publico;23.61;Normal
Hombre;51;158;58;Si;3;8;Bicicleta;23.23;Normal
Hombre;28;149;50;No;2;12;Bicicleta;22.52;Normal
Hombre;59;171;66;No;5;8;Transporte_Publico;22.57;Normal
Hombre;49;150;39;Si;2;8;Transporte_Publico;17.33;Delgadez
Hombre;40;171;89;Si;2;1;Transporte_Publico;30.44;Obesidad
Hombre;62;198;90;No;5;10;Coche;22.96;Normal
Mujer;27;169;58;No;5;12;Coche;20.31;Normal
Hombre;20;151;71;No;1;4;Transporte_Publico;31.14;Obesidad
Hombre;24;173;54;Si;3;9;Transporte_Publico;18.04;Delgadez
Mujer;41;176;87;No;2;5;Transporte_Publico;28.09;Sobrepeso
Mujer;61;188;99;No;2;4;Coche;28.01;Sobrepeso
Mujer;37;155;74;No;1;1;Coche;30.8;Obesidad
Mujer;30;150;53;No;3;14;Coche;23.56;Normal
Hombre;52;153;41;No;3;5;Transporte_Publico;17.51;Delgadez
Mujer;22;147;67;Si;2;3;Coche;31.01;Obesidad
Mujer;36;147;47;No;2;13;Coche;21.75;Normal
Hombre;33;173;72;No;4;8;Coche;24.06;Normal
Hombre;29;162;67;Si;2;6;Transporte_Publico;25.53;Sobrepeso
Mujer;22;176;89;No;2;5;Coche;28.73;Sobrepeso
Mujer;20;176;100;No;2;1;Coche;32.28;Obesidad
Hombre;21;198;104;No;2;6;Transporte_Publico;26.53;Sobrepeso
Mujer;21;156;71;No;1;3;Coche;29.17;Sobrepeso
Hombre;45;182;90;Si;2;6;Coche;27.17;Sobrepeso
Hombre;61;153;77;Si;2;3;Transporte_Publico;32.89;Obesidad
Hombre;47;157;64;Si;2;4;Coche;25.96;Sobrepeso
Mujer;59;187;97;No;2;5;Transporte_Publico;27.74;Sobrepeso
Hombre;52;175;57;No;2;7;Transporte_Publico;18.61;Normal
Hombre;44;186;87;Si;1;4;Coche;25.15;Sobrepeso
Hombre;52;171;90;Si;2;4;Transporte_Publico;30.78;Obesidad
Mujer;45;154;37;No;2;2;Coche;15.6;Delgadez
Hombre;38;148;63;Si;1;4;Andando;28.76;Sobrepeso
Mujer;26;152;50;Si;4;11;Transporte_Publico;21.64;Normal
Mujer;49;153;44;No;5;13;Coche;18.8;Normal
Hombre;26;146;56;Si;2;4;Transporte_Publico;26.27;Sobrepeso
Hombre;55;183;94;No;2;5;Transporte_Publico;28.07;Sobrepeso
Mujer;44;193;87;Si;5;8;Transporte_Publico;23.36;Normal
Hombre;59;163;66;No;2;9;Transporte_Publico;24.84;Normal
Hombre;18;180;103;Si;0;1;Transporte_Publico;31.79;Obesidad
Mujer;23;189;89;No;4;7;Transporte_Publico;24.92;Normal
Mujer;22;149;57;Si;2;4;Transporte_Publico;25.67;Sobrepeso
Hombre;20;182;69;Si;5;9;Transporte_Publico;20.83;Normal
Hombre;54;184;107;Si;1;4;Transporte_Publico;31.6;Obesidad
Hombre;45;166;88;Si;1;2;Transporte_Publico;31.93;Obesidad
Mujer;32;194;89;Si;2;8;Transporte_Publico;23.65;Normal
Mujer;32;178;79;No;3;10;Transporte_Publico;24.93;Normal
Mujer;65;153;68;No;2;4;Transporte_Publico;29.05;Sobrepeso
Mujer;21;180;83;No;1;6;Transporte_Publico;25.62;Sobrepeso
Hombre;43;146;40;Si;4;8;Transporte_Publico;18.77;Normal
Mujer;57;152;55;Si;4;12;Coche;23.81;Normal
Hombre;62;190;99;Si;2;3;Coche;27.42;Sobrepeso
Hombre;51;170;77;Si;2;6;Transporte_Publico;26.64;Sobrepeso
Hombre;62;161;46;No;3;2;Coche;17.75;Delgadez
Mujer;24;155;66;Si;2;4;Transporte_Publico;27.47;Sobrepeso
Hombre;59;177;63;Si;3;13;Transporte_Publico;20.11;Normal
Hombre;32;167;64;Si;4;13;Transporte_Publico;22.95;Normal
Hombre;20;165;65;Si;2;11;Coche;23.88;Normal
Hombre;45;167;69;No;4;11;Transporte_Publico;24.74;Normal
Mujer;36;193;75;Si;2;8;Transporte_Publico;20.13;Normal
Hombre;55;187;67;No;5;13;Andando;19.16;Normal
Hombre;38;157;65;Si;2;5;Bicicleta;26.37;Sobrepeso
Hombre;61;165;86;Si;1;4;Bicicleta;31.59;Obesidad
Mujer;27;179;89;No;1;4;Transporte_Publico;27.78;Sobrepeso
Mujer;27;179;82;No;2;5;Transporte_Publico;25.59;Sobrepeso
Mujer;22;148;54;Si;5;8;Transporte_Publico;24.65;Normal
Mujer;27;187;70;Si;5;9;Coche;20.02;Normal
Mujer;38;146;40;No;4;12;Transporte_Publico;18.77;Normal
Hombre;49;172;65;No;5;8;Coche;21.97;Normal
Hombre;62;162;57;Si;4;8;Coche;21.72;Normal
Mujer;60;173;94;Si;0;1;Transporte_Publico;31.41;Obesidad
Hombre;39;147;60;Si;2;6;Transporte_Publico;27.77;Sobrepeso
Hombre;57;181;99;No;2;4;Andando;30.22;Obesidad
Mujer;28;176;60;Si;3;9;Transporte_Publico;19.37;Normal
Mujer;44;146;62;Si;1;6;Transporte_Publico;29.09;Sobrepeso
Hombre;60;176;65;Si;5;10;Transporte_Publico;20.98;Normal
Mujer;32;190;74;Si;2;9;Transporte_Publico;20.5;Normal
Mujer;57;154;38;No;2;8;Transporte_Publico;16.02;Delgadez
Hombre;62;180;85;Si;2;3;Transporte_Publico;26.23;Sobrepeso
Hombre;27;181;62;Si;4;9;Transporte_Publico;18.92;Normal
Hombre;39;190;85;Si;4;9;Transporte_Publico;23.55;Normal
Mujer;61;183;97;No;1;4;Andando;28.96;Sobrepeso
Hombre;47;163;52;Si;5;10;Coche;19.57;Normal
Mujer;51;176;89;No;2;4;Transporte_Publico;28.73;Sobrepeso
Mujer;23;174;76;No;2;3;Transporte_Publico;25.1;Sobrepeso
Mujer;18;194;78;Si;4;13;Transporte_Publico;20.72;Normal
Hombre;50;193;103;Si;1;3;Transporte_Publico;27.65;Sobrepeso
Mujer;49;193;95;Si;1;6;Transporte_Publico;25.5;Sobrepeso
Mujer;38;155;43;Si;3;9;Transporte_Publico;17.9;Delgadez
Mujer;27;156;36;No;3;9;Transporte_Publico;14.79;Delgadez
Hombre;44;163;51;Si;4;11;Andando;19.2;Normal
Mujer;22;182;80;No;4;13;Coche;24.15;Normal
Mujer;18;190;104;No;1;4;Transporte_Publico;28.81;Sobrepeso
Mujer;19;146;53;Si;4;7;Coche;24.86;Normal
Hombre;42;157;38;Si;3;7;Coche;15.42;Delgadez
Hombre;52;165;53;Si;4;7;Andando;19.47;Normal
Mujer;40;171;80;No;1;6;Transporte_Publico;27.36;Sobrepeso
Mujer;24;150;69;Si;2;2;Transporte_Publico;30.67;Obesidad
Mujer;28;165;52;Si;5;14;Coche;19.1;Normal
Mujer;33;192;84;No;3;11;Transporte_Publico;22.79;Normal
Mujer;60;160;54;Si;3;13;Transporte_Publico;21.09;Normal
Mujer;36;193;84;No;4;9;Coche;22.55;Normal
Mujer;40;189;95;No;2;3;Transporte_Publico;26.6;Sobrepeso
Mujer;25;159;47;Si;4;8;Transporte_Publico;18.59;Normal
Mujer;22;182;86;No;1;6;Transporte_Publico;25.96;Sobrepeso
Mujer;64;196;86;Si;5;11;Transporte_Publico;22.39;Normal
Hombre;51;186;72;No;3;7;Bicicleta;20.81;Normal
Mujer;36;193;75;No;5;7;Coche;20.13;Normal
Hombre;64;187;75;Si;2;12;Coche;21.45;Normal
Mujer;54;187;79;Si;4;10;Transporte_Publico;22.59;Normal
Mujer;27;188;69;Si;3;10;Coche;19.52;Normal
Mujer;45;193;73;No;2;7;Transporte_Publico;19.6;Normal
Mujer;46;180;78;No;4;10;Coche;24.07;Normal
Hombre;18;190;81;No;5;10;Coche;22.44;Normal
Hombre;27;192;72;No;4;12;Andando;19.53;Normal
Mujer;60;159;77;Si;1;4;Transporte_Publico;30.46;Obesidad
Hombre;32;188;80;No;4;13;Coche;22.63;Normal
Hombre;30;174;92;No;0;4;Coche;30.39;Obesidad
Mujer;58;175;70;No;2;7;Transporte_Publico;22.86;Normal
Mujer;32;193;116;Si;2;3;Transporte_Publico;31.14;Obesidad
Hombre;29;160;61;Si;2;14;Bicicleta;23.83;Normal
Hombre;42;155;71;Si;2;3;Transporte_Publico;29.55;Sobrepeso
Hombre;20;182;77;Si;4;12;Transporte_Publico;23.25;Normal
Hombre;19;146;41;No;3;11;Transporte_Publico;19.23;Normal
Mujer;30;171;79;No;1;4;Transporte_Publico;27.02;Sobrepeso
Hombre;55;172;86;No;1;6;Transporte_Publico;29.07;Sobrepeso
Mujer;54;169;55;No;3;13;Andando;19.26;Normal
Hombre;25;180;105;No;1;2;Transporte_Publico;32.41;Obesidad
Hombre;57;146;56;Si;2;5;Transporte_Publico;26.27;Sobrepeso
Hombre;18;156;56;No;2;13;Coche;23.01;Normal
Hombre;65;165;72;No;1;6;Transporte_Publico;26.45;Sobrepeso
Mujer;60;150;41;Si;2;9;Transporte_Publico;18.22;Delgadez
Hombre;34;153;56;Si;5;13;Coche;23.92;Normal
Hombre;31;172;55;No;2;7;Transporte_Publico;18.59;Normal
Hombre;41;149;70;No;1;4;Andando;31.53;Obesidad
Hombre;27;155;68;No;2;4;Transporte_Publico;28.3;Sobrepeso
Mujer;41;184;79;No;3;10;Transporte_Publico;23.33;Normal
Hombre;49;175;68;Si;4;8;Transporte_Publico;22.2;Normal
Hombre;41;163;48;Si;3;9;Bicicleta;18.07;Delgadez
Mujer;46;174;87;Si;1;4;Transporte_Publico;28.74;Sobrepeso
Mujer;55;180;73;Si;3;13;Transporte_Publico;22.53;Normal
Hombre;21;184;83;Si;5;7;Transporte_Publico;24.52;Normal
Hombre;30;148;51;Si;2;12;Andando;23.28;Normal
Mujer;27;181;75;No;2;8;Coche;22.89;Normal
Hombre;20;193;99;Si;2;3;Transporte_Publico;26.58;Sobrepeso
Hombre;29;163;69;Si;2;6;Transporte_Publico;25.97;Sobrepeso
Hombre;47;161;65;Si;2;6;Transporte_Publico;25.08;Sobrepeso
Mujer;59;148;37;Si;2;8;Transporte_Publico;16.89;Delgadez
Hombre;37;150;62;No;2;5;Andando;27.56;Sobrepeso
Hombre;33;194;89;Si;3;11;Transporte_Publico;23.65;Normal
Hombre;61;158;83;Si;2;2;Transporte_Publico;33.25;Obesidad
Mujer;29;146;71;No;1;3;Transporte_Publico;33.31;Obesidad
Mujer;39;156;74;No;1;3;Transporte_Publico;30.41;Obesidad
Mujer;19;153;52;No;5;9;Transporte_Publico;22.21;Normal
Hombre;50;188;113;No;1;3;Coche;31.97;Obesidad
Hombre;47;179;88;Si;2;6;Transporte_Publico;27.46;Sobrepeso
Hombre;41;166;73;No;1;4;Andando;26.49;Sobrepeso
Hombre;28;163;80;No;1;2;Transporte_Publico;30.11;Obesidad
Hombre;34;165;84;Si;0;1;Transporte_Publico;30.85;Obesidad
Hombre;60;161;73;Si;1;6;Transporte_Publico;28.16;Sobrepeso
Mujer;48;170;53;Si;1;2;Andando;18.34;Delgadez
Mujer;28;194;106;No;2;6;Transporte_Publico;28.16;Sobrepeso
Hombre;38;185;86;Si;1;4;Coche;25.13;Sobrepeso
Hombre;49;174;94;Si;2;2;Transporte_Publico;31.05;Obesidad
Hombre;59;158;81;No;1;1;Transporte_Publico;32.45;Obesidad
Hombre;43;195;81;No;3;14;Transporte_Publico;21.3;Normal
Hombre;32;165;50;Si;3;3;Transporte_Publico;18.37;Delgadez
Hombre;49;156;73;Si;2;4;Andando;30;Obesidad
Mujer;57;146;53;No;5;14;Transporte_Publico;24.86;Normal
Hombre;39;171;69;Si;2;11;Transporte_Publico;23.6;Normal
Hombre;32;165;82;Si;0;1;Transporte_Publico;30.12;Obesidad
Mujer;49;154;71;Si;2;4;Transporte_Publico;29.94;Obesidad
Mujer;55;193;73;Si;3;8;Transporte_Publico;19.6;Normal
Hombre;62;175;84;No;1;6;Transporte_Publico;27.43;Sobrepeso
Mujer;58;196;79;No;3;12;Andando;20.56;Normal
Hombre;65;156;71;No;2;5;Transporte_Publico;29.17;Sobrepeso
Hombre;65;161;56;Si;2;10;Transporte_Publico;21.6;Normal
Mujer;52;197;95;No;4;8;Transporte_Publico;24.48;Normal
Hombre;61;160;40;Si;2;7;Transporte_Publico;15.63;Delgadez
Mujer;22;169;88;Si;0;1;Andando;30.81;Obesidad
Hombre;31;163;88;No;2;3;Transporte_Publico;33.12;Obesidad
Hombre;41;156;40;Si;2;9;Coche;16.44;Delgadez
Hombre;60;192;99;No;1;6;Transporte_Publico;26.86;Sobrepeso
Mujer;40;197;112;No;2;6;Transporte_Publico;28.86;Sobrepeso
Mujer;55;194;85;Si;2;13;Coche;22.58;Normal
Hombre;40;150;67;No;1;5;Transporte_Publico;29.78;Sobrepeso
Hombre;49;196;101;No;1;3;Coche;26.29;Sobrepeso
Mujer;40;149;36;Si;2;7;Transporte_Publico;16.22;Delgadez
Hombre;27;165;74;Si;2;4;Coche;27.18;Sobrepeso
Mujer;19;158;77;Si;2;2;Transporte_Publico;30.84;Obesidad
Mujer;48;175;91;No;2;5;Transporte_Publico;29.71;Sobrepeso
Hombre;44;167;83;No;1;5;Transporte_Publico;29.76;Sobrepeso
Hombre;51;150;67;No;2;4;Transporte_Publico;29.78;Sobrepeso
Hombre;19;198;115;Si;2;5;Andando;29.33;Sobrepeso
Mujer;56;155;45;No;2;14;Transporte_Publico;18.73;Normal
Mujer;52;155;62;No;1;3;Transporte_Publico;25.81;Sobrepeso
Hombre;49;191;96;No;1;3;Transporte_Publico;26.32;Sobrepeso
Hombre;54;190;94;Si;2;3;Andando;26.04;Sobrepeso
Mujer;26;161;84;No;0;1;Coche;32.41;Obesidad
Mujer;48;189;80;No;4;8;Transporte_Publico;22.4;Normal
Hombre;47;165;59;No;2;9;Transporte_Publico;21.67;Normal
Hombre;27;158;83;No;0;3;Transporte_Publico;33.25;Obesidad
Hombre;34;147;31;Si;2;4;Andando;14.35;Delgadez
Mujer;42;198;78;Si;2;13;Transporte_Publico;19.9;Normal
Mujer;32;157;59;No;3;8;Transporte_Publico;23.94;Normal
Hombre;44;162;69;No;1;5;Transporte_Publico;26.29;Sobrepeso
Hombre;50;189;86;Si;3;12;Transporte_Publico;24.08;Normal
Hombre;45;191;71;Si;2;7;Transporte_Publico;19.46;Normal
Hombre;50;184;75;Si;3;12;Transporte_Publico;22.15;Normal
Hombre;33;158;81;Si;0;2;Transporte_Publico;32.45;Obesidad
Hombre;45;189;97;Si;1;6;Transporte_Publico;27.15;Sobrepeso
Mujer;18;191;97;Si;2;3;Transporte_Publico;26.59;Sobrepeso
Hombre;63;188;97;Si;2;4;Andando;27.44;Sobrepeso
Hombre;48;178;87;No;1;5;Andando;27.46;Sobrepeso
Hombre;60;172;82;No;2;4;Transporte_Publico;27.72;Sobrepeso
Hombre;40;174;78;Si;2;4;Andando;25.76;Sobrepeso
Mujer;40;154;46;No;5;14;Andando;19.4;Normal
Mujer;34;188;95;Si;1;6;Andando;26.88;Sobrepeso
Mujer;33;174;67;Si;2;7;Coche;22.13;Normal
Mujer;45;154;54;Si;4;14;Transporte_Publico;22.77;Normal
Mujer;61;175;84;No;2;4;Transporte_Publico;27.43;Sobrepeso
Hombre;19;182;107;No;1;3;Andando;32.3;Obesidad
Mujer;34;196;78;No;3;9;Coche;20.3;Normal
Hombre;21;146;45;Si;4;8;Coche;21.11;Normal
Mujer;48;169;60;No;3;9;Transporte_Publico;21.01;Normal
Hombre;37;159;55;Si;3;13;Transporte_Publico;21.76;Normal
Mujer;65;162;51;Si;5;8;Transporte_Publico;19.43;Normal
Mujer;49;188;89;Si;2;6;Coche;25.18;Sobrepeso
Hombre;59;185;73;No;3;13;Transporte_Publico;21.33;Normal
Hombre;25;159;71;No;2;3;Transporte_Publico;28.08;Sobrepeso
Hombre;53;155;55;No;3;12;Bicicleta;22.89;Normal
Hombre;31;172;89;Si;0;4;Coche;30.08;Obesidad
Mujer;46;167;67;No;5;14;Transporte_Publico;24.02;Normal
Mujer;42;175;62;No;3;14;Coche;20.24;Normal
Hombre;25;159;43;No;3;8;Transporte_Publico;17.01;Delgadez
Hombre;58;171;63;Si;3;9;Transporte_Publico;21.55;Normal
Hombre;37;188;107;No;2;3;Transporte_Publico;30.27;Obesidad
Mujer;31;154;55;Si;3;9;Coche;23.19;Normal
Mujer;18;147;34;No;2;6;Transporte_Publico;15.73;Delgadez
Hombre;35;190;80;Si;2;7;Coche;22.16;Normal
Hombre;61;169;83;No;1;6;Coche;29.06;Sobrepeso
Mujer;47;193;89;Si;2;14;Coche;23.89;Normal
Hombre;19;170;57;Si;4;10;Transporte_Publico;19.72;Normal
Hombre;23;165;69;No;2;5;Transporte_Publico;25.34;Sobrepeso
Hombre;65;158;41;No;3;4;Andando;16.42;Delgadez
Hombre;31;156;38;Si;1;6;Bicicleta;15.61;Delgadez
Hombre;51;172;54;Si;2;7;Transporte_Publico;18.25;Delgadez
Mujer;30;159;74;No;1;3;Transporte_Publico;29.27;Sobrepeso
Hombre;47;174;54;Si;2;5;Coche;17.84;Delgadez
Mujer;57;177;60;Si;4;14;Andando;19.15;Normal
Mujer;44;161;60;Si;2;9;Transporte_Publico;23.15;Normal
Mujer;20;192;107;No;2;3;Transporte_Publico;29.03;Sobrepeso
Mujer;46;184;91;Si;2;4;Bicicleta;26.88;Sobrepeso
Hombre;22;184;102;Si;2;3;Transporte_Publico;30.13;Obesidad
Mujer;60;153;48;Si;5;12;Transporte_Publico;20.5;Normal
Hombre;45;193;101;Si;1;3;Transporte_Publico;27.11;Sobrepeso
Mujer;33;174;71;No;2;14;Andando;23.45;Normal
Hombre;19;157;50;Si;3;9;Transporte_Publico;20.28;Normal
Hombre;21;192;113;Si;2;2;Transporte_Publico;30.65;Obesidad
Mujer;42;186;110;Si;2;1;Transporte_Publico;31.8;Obesidad
Mujer;63;159;44;Si;3;8;Transporte_Publico;17.4;Delgadez
Mujer;40;168;67;Si;3;14;Coche;23.74;Normal
Hombre;40;156;74;No;0;3;Transporte_Publico;30.41;Obesidad
Hombre;50;163;60;Si;5;12;Transporte_Publico;22.58;Normal
Hombre;25;189;98;No;2;3;Bicicleta;27.43;Sobrepeso
